Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
RBL 01.23.055,Sjrb 90 S7,Organoids,Sample 22,hGAPDH,18.71,0.8580994312970098,-0.1575010936595964,NM_08.23.17,SJRB 90 S7 (RBL) - PASSED,RBL 01.23.055,2023-02-23,PASSED
,,,Sample 22,mGapdh,21.804,,,,,,,
RBL 01.23.057,Mast 116 T,Tumor,Sample 27,hGAPDH,16.649,0.8460717552596809,-0.1806312398852289,NM_08.23.17,,,,
,,,Sample 27,mGapdh,19.678,,,,,,,
RBL 01.23.057,Mast 116 S7,Organoids,Sample 28,hGAPDH,18.337,0.867818267865594,-0.13881102333539602,NM_08.23.17,MAST 116 S7 (RBL) - PASSED,RBL 01.23.057,2023-04-04,PASSED
,,,Sample 28,mGapdh,21.13,,,,,,,
RBL 01.23.057,Mast 116 P1,Cells,Sample 15,hGAPDH,19.144,0.980135162809748,0.07718300540336163,NM_08.23.24,,,,
,,,Sample 15,mGapdh,19.532,,,,,,,
RBL 01.23.059,Sjrb 143 T,Tumor,Sample 32,hGAPDH,18.366,0.8474920400535277,-0.17789992297398502,NM_08.23.20,,,,
,,,Sample 32,mGapdh,21.671,,,,,,,
RBL 01.23.059,Sjrb 143 S7,Organoids,Sample 33,hGAPDH,19.691,0.8187185564009812,-0.23323354538272828,NM_08.23.20,SJRB 143 S7 (RBL) - PASSED,RBL 01.23.059,2023-04-04,PASSED
,,,Sample 33,mGapdh,24.051,,,,,,,
RBL 01.23.059,Sjrb 143 P1,Cells,Sample 11,hGAPDH,20.899,1.08442299709423,0.27773653287351946,NM_08.23.28,,,,
,,,Sample 11,mGapdh,19.272,,,,,,,
RBL 01.23.059,Sjrb 143 S7 Post Thaw 3 Days,Cells,Sample 19,hGAPDH,19.806,0.9368968779564806,-0.005967542391383401,NM_08.23.31,,,,
,,,Sample 19,mGapdh,21.14,,,,,,,
RBL 01.23.061,Sjrb 129 T,Tumor,Sample 34,hGAPDH,18.267,0.8382049281879502,-0.195759753484711,NM_08.23.20,,,,
,,,Sample 34,mGapdh,21.793,,,,,,,
RBL 01.23.061,Sjrb 129 S7,Organoids,Sample 35,hGAPDH,19.008,0.7957133288680508,-0.27747436756144067,NM_08.23.20,SJRB 129 S7 (RBL) - PASSED,RBL 01.23.061,2023-04-04,PASSED
,,,Sample 35,mGapdh,23.888,,,,,,,
RBL 01.23.061,Sjrb 129 P1,Cells,Sample 12,hGAPDH,20.224,1.0031746031746032,0.12148962148962157,NM_08.23.28,,,,
,,,Sample 12,mGapdh,20.16,,,,,,,
RBL 01.23.061,Sjrb 129 S7 Post Thaw 3 Days,Cells,Sample 18,hGAPDH,19.724,0.7628993579330084,-0.3405781578211375,NM_08.23.31,,,,
,,,Sample 18,mGapdh,25.854,,,,,,,
RBL 01.23.063,Sjrb 180 T,Tumor,Sample 9,hGAPDH,18.995,0.9082867116147851,-0.06098709304849002,NM_08.23.28,,,,
,,,Sample 9,mGapdh,20.913,,,,,,,
RBL 01.23.063,Sjrb 180 S7,Organoids,Sample 10,hGAPDH,19.887,0.8483491169695418,-0.17625169813549632,NM_08.23.28,,,,
,,,Sample 10,mGapdh,23.442,,,,,,,
RBL 01.23.063,Sjrb 180 P1,Cells,Sample 15,hGAPDH,20.99,1.1206620395088094,0.34742699905540275,NM_08.23.31,,,,
,,,Sample 15,mGapdh,18.73,,,,,,,
RBL 01.23.065,Sjrb 124 T,Tumor,Sample 13,hGAPDH,19.094,0.8793810159812094,-0.11657496926690483,NM_08.23.28,,,,
,,,Sample 13,mGapdh,21.713,,,,,,,
RBL 01.23.065,Sjrb 124 S7,Organoids,Sample 14,hGAPDH,19.419,0.8264107583624138,-0.2184408493030502,NM_08.23.28,,,,
,,,Sample 14,mGapdh,23.498,,,,,,,
RBL 01.23.067,Sjrb 182 T,Tumor,Sample 7,hGAPDH,19.03,0.8869313944817301,-0.10205501061205742,NM_08.23.32,,,,
,,,Sample 7,mGapdh,21.456,,,,,,,
RBL 01.23.067,Sjrb 182 S7,Organoids,Sample 8,hGAPDH,19.706,0.832389963673228,-0.20694237755148442,NM_08.23.32,,,,
,,,Sample 8,mGapdh,23.674,,,,,,,
RBL 01.23.069,Sjrb 166 T,Tumor,Sample 5,hGAPDH,19.096,0.8650901513092325,-0.14405740132839892,NM_08.23.32,,,,
,,,Sample 5,mGapdh,22.074,,,,,,,
RBL 01.23.069,Sjrb 166 S7,Organoids,Sample 6,hGAPDH,19.0,0.7892331976406081,-0.28993615838344594,NM_08.23.32,,,,
,,,Sample 6,mGapdh,24.074,,,,,,,
RBL 01.23.071,Sjrb 148 T,Tumor,Sample 1,hGAPDH,18.127,0.8716999278672757,-0.1313462925629313,NM_08.23.32,,,,
,,,Sample 1,mGapdh,20.795,,,,,,,
RBL 01.23.071,Sjrb 148 S7,Organoids,Sample 2,hGAPDH,19.564,0.7790387448731733,-0.30954087524389745,NM_08.23.32,,,,
,,,Sample 2,mGapdh,25.113,,,,,,,
