Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
WT 01.23.025,Mast 655 T Human,Cells,Sample 6,hGAPDH,16.874,0.5482843774369638,-0.7532992741596849,NM_08.23.28,,,,
,,,Sample 6,mGapdh,30.776,,,,,,,
WT 01.23.025,Mast 655 S7,Organoids,Sample 7,hGAPDH,16.617,0.5087875076546234,-0.8292547929718779,NM_08.23.28,,,,
,,,Sample 7,mGapdh,32.66,,,,,,,
WT 01.23.025,Mast 655 P1,Organoids,Sample 8,hGAPDH,17.463,0.5188673639172807,-0.8098704540052293,NM_08.23.28,MAST 655 p1 (WT) - PASSED,WT 01.23.025,2023-05-10,PASSED
,,,Sample 8,mGapdh,33.656,,,,,,,
WT 01.23.025,Mast 655 S7 Post Thaw 7 Days,Cells,Sample 7,hGAPDH,17.546,0.4972087619371475,-0.8515216116593316,NM_08.23.31,,,,
,,,Sample 7,mGapdh,35.289,,,,,,,
WT 01.23.025,Mast 655 P3,Cells,Sample 12,hGAPDH,17.729,0.536251172,-0.776,NM_08.23.33,,,,
 ,,,Sample 12,mGapdh,33.061, , ,,,,,
WT 01.23.027,Mast 664B T,Tumor,Sample 31,hGAPDH,15.756,0.6862668234679211,-0.48794841640784387,NM_08.23.32,,,,
,,,Sample 31,mGapdh,22.959,,,,,,,
WT 01.23.027,Mast 664B T Human,Cells,Sample 32,hGAPDH,15.333,0.5634853551872405,-0.724066624639922,NM_08.23.32,,,,
,,,Sample 32,mGapdh,27.211,,,,,,,
WT 01.23.027,Mast 664B S7,Organoids,Sample 33,hGAPDH,16.01,0.5018022253565272,-0.8426880281605245,NM_08.23.32,,,,
,,,Sample 33,mGapdh,31.905,,,,,,,
WT 01.23.027,Mast 664B P1,Cells,Sample 34,hGAPDH,15.981,0.4757524336875949,-0.8927837813700097,NM_08.23.32,MAST 664B p1 (WT) - PASSED,WT 01.23.027,2023-05-10,PASSED
,,,Sample 34,mGapdh,33.591,,,,,,,
WT 01.23.029,Mast 226 T,Tumor,Sample 27,hGAPDH,15.68,0.6699423200170903,-0.5193416922748262,NM_08.23.32,,,,
,,,Sample 27,mGapdh,23.405,,,,,,,
WT 01.23.029,Mast 226 T Human,Cells,Sample 28,hGAPDH,15.173,0.5002967554734898,-0.845583162550981,NM_08.23.32,,,,
,,,Sample 28,mGapdh,30.328,,,,,,,
WT 01.23.029,Mast 226 S7,Organoids,Sample 29,hGAPDH,19.747,0.5749264855737036,-0.7020644508198006,NM_08.23.32,,,,
,,,Sample 29,mGapdh,34.347,,,,,,,
WT 01.23.029,Mast 226 P1,Cells,Sample 30,hGAPDH,15.919,0.51117461948494,-0.8246641932981921,NM_08.23.32,,,,
,,,Sample 30,mGapdh,31.142,,,,,,,
