Experiment #,Sample Name,Type,Sample,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
,,,mGapdh, , ,,,,,,
,Mast 60 P1 (Gf),11,hGAPDH,0.66,-0.543,,,,,,
,,,mGapdh, , ,,,,,,
RMS040,Mast 95 T,12,hGAPDH,0.74,-0.39,,,,,,
,,,mGapdh, , ,,,,,,
RMS040,Mast 95 S7 (Bf),13,hGAPDH,0.66,-0.529,,,,,,
,,,mGapdh, , ,,,,,,
RMS040,Mast 95 P1 (Bf),14,hGAPDH,0.61,-0.626,,,,,,
,,,mGapdh, , ,,,,,,
RMS033,Mast 118 T,15,hGAPDH,0.72,-0.426,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 118 S7 (Bf),16,hGAPDH,0.75,-0.363,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 118 P1 (Bf),17,hGAPDH,0.61,-0.632,,,,,,
,,,mGapdh, , ,,,,,,
RMS011,Mast 527 T,18,hGAPDH,0.75,-0.365,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 527 P1 (G),20,hGAPDH,0.59,-0.665,,,,,,
,,,mGapdh, , ,,,,,,
RMS023,Mast 243B T,21,hGAPDH,0.83,-0.21,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 243B S7 (Bf),22,hGAPDH,0.72,-0.424,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 243B P1 (Bf),23,hGAPDH,0.59,-0.678,,,,,,
,,,mGapdh, , ,,,,,,
RMS027,Mast 100 T,24,hGAPDH,0.76,-0.348,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 100 S7 (G),25,hGAPDH,0.79,-0.295,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 100 P1 (G),26,hGAPDH,0.97,0.061,,,,,,
,,,mGapdh, , ,,,,,,
RMS009,Mast 85 T,27,hGAPDH,0.75,-0.368,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 85 S7 (B),28,hGAPDH,0.62,-0.616,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 85 P1 (B),29,hGAPDH,0.56,-0.74,,,,,,
,,,mGapdh, , ,,,,,,
TUBE #,Sample,Material,Experiment #,Target Name,Mean Equivalent Cq,human/mouse ratio (Ct),mouse contamination,,,,
1,Mast 74 T0,Tumor,RMS 01.21.108,hGAPDH,17.503,0.76459025,-0.337,,,,
1,,, ,mGapdh,22.892, , ,,,,
2,Mast 74 S7 (G),Organoids,RMS 01.21.108,hGAPDH,16.81,0.812626897,-0.245,,,,
2,,, ,mGapdh,20.686, , ,,,,
3,Mast 74 P1 (G),Cells,RMS 01.21.108,hGAPDH,16.874,0.842857143,-0.187,,,,
3,,, ,mGapdh,20.02, , ,,,,
4,Sj1018 2D Culture,Cells,JDM 01.23.022-13,hGAPDH,15.142,0.404877136,-1.029,,,,
4,,, ,mGapdh,37.399, , ,,,,
5,Sj10018T Reinjected Mast 74 Cclf Rep1,Tumor,JDM,hGAPDH,18.681,0.754940392,-0.356,,,,
5,,, ,mGapdh,24.745, , ,,,,
