Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
OST 01.22.027,MAST 586 T,Tumor,Sample 1,hGAPDH,18.328,0.894703442,-0.087,NM_8.22.44,,MAST 586 T - PASSED,OST 01.22.027,2022-09-21,PASSED
 , ,,Sample 1,mGapdh,20.485, , ,,,,,,
OST 01.22.027,MAST 586 S7,Organoids,Sample 2,hGAPDH,16.952,0.830573248,-0.21,NM_8.22.44,,,,,
 , ,,Sample 2,mGapdh,20.41, , ,,,,,,
OST 01.22.027,MAST 586 p1,Cells,Sample 3,hGAPDH,17.061,0.757963481,-0.35,NM_8.22.44,,MAST 586 p1 (OS) - PASSED,OST 01.22.027,2022-10-25,PASSED
 , ,,Sample 3,mGapdh,22.509, , ,,,,,,
,,,,,,,,,,MAST 597 T - PASSED,OST 01.22.029,2022-09-21,PASSED
OST 01.23.030,MAST 597 T,Tumor,Sample 7,hGAPDH,17.599,0.7910373966199209,-0.2864665449616905,NM_08.23.38,,,,,
,,,Sample 7,mGapdh,22.248,,,,,,,,
OST 01.23.030,MAST 597 S7,Organoids,Sample 8,hGAPDH,16.764,0.8557427258805512,-0.1620332194604783,NM_08.23.38,,,,,
,,,Sample 8,mGapdh,19.59,,,,,,,,
OST 01.23.030,MAST 597 p1,Cells,Sample 9,hGAPDH,17.977,0.8846078141915167,-0.1065234342470832,NM_08.23.38,,,,,
,,,Sample 9,mGapdh,20.322,,,,,,,,
OST 01.22.031,MAST 45 T,Tumor,Sample 4,hGAPDH,14.532,0.694878784,-0.471,NM_8.22.48,,,,,
 , ,,Sample 4,mGapdh,20.913, , ,,,,,,
OST 01.22.031,MAST 45 S7,Organoids,Sample 5,hGAPDH,18.034,1.010591202,0.136,NM_8.22.48,,"MAST 45 S7 (OS) - PASSED
[some non-human DNA present]",OST 01.22.031,2022-10-05,PASSED
 , ,,Sample 5,mGapdh,17.845, , ,,,,,,
OST 01.22.031,MAST 45 p1,Cells,Sample 6,hGAPDH,27.264,1.581621998,1.234,NM_8.22.48,,,,,
 , ,,Sample 6,mGapdh,17.238, , ,,,,,,
OST 01.22.032,OS45 T,Tumor,Sample 1,hGAPDH,16.572,0.841218274,-0.19,NM_8.23.02,,,,,
 , ,,Sample 1,mGapdh,19.7, , ,,,,,,
OST 01.22.032,OS45 S7,Organoids,Sample 2,hGAPDH,16.018,0.886441616,-0.103,NM_8.23.02,,OS45 S7 (OS3) - PASSED,OST 01.22.032,2023-01-10,PASSED
 , ,,Sample 2,mGapdh,18.07, , ,,,,,,
OST 01.22.032,OS45 p1,Cells,Sample 3,hGAPDH,24.023,1.485928125,1.05,NM_8.23.02,,OS45 p1 (OS3) - FAILED,OST 01.23.032,2023-01-24,FAILED
 , ,,Sample 3,mGapdh,16.167, , ,,,,,,
OST 01.22.033,MAST 634 T,Tumor,Sample 1,hGAPDH,16.532,0.720066205,-0.423,NM_8.22.48,,,,,
 , ,,Sample 1,mGapdh,22.959, , ,,,,,,
OST 01.22.033,MAST 634 S7,Organoids,Sample 2,hGAPDH,16.795,0.855796178,-0.162,NM_8.22.48,,,,,
 , ,,Sample 2,mGapdh,19.625, , ,,,,,,
OST 01.22.033,MAST 634 p1,Cells,Sample 3,hGAPDH,18.626,0.880495415,-0.114,NM_8.22.48,,,,,
 , ,,Sample 3,mGapdh,21.154, , ,,,MAST 634 p3 (OS3) - PASSED,OST 01.22.033,2023-01-10,PASSED
OST 01.22.035,MAST 470A T,Tumor,Sample 9,hGAPDH,17.453,0.792237857,-0.284,NM_8.22.51,,,,,
 , ,,Sample 9,mGapdh,22.03, , ,,,,,,
OST 01.22.035,MAST 470A S7,Organoids,-,-,-,-,-,NM_8.22.51,,,,,
 , ,,-,-,-,-,-,,,,,,
