lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
DYE2553,45642,SJ1036 CCLF 01.24.011,Melody Allensworth,SJ1036 CCLF 01.24.011,841877,3251776,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2554,45642,SJ1044 CCLF 01.24.011,Melody Allensworth,SJ1044 CCLF 01.24.011,841877,3251777,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2555,45642,SJ1001 CCLF 01.24.011,Melody Allensworth,SJ1001 CCLF 01.24.011,841877,3251778,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2556,45642,SJ1065 CCLF 01.24.011,Melody Allensworth,SJ1065 CCLF 01.24.011,841877,3251779,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2557,45642,SJ1047 CCLF 01.24.013,Melody Allensworth,SJ1047 CCLF 01.24.013,841877,3251780,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2558,45642,SJ1005 CCLF 01.24.012,Melody Allensworth,SJ1005 CCLF 01.24.012,841877,3251781,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2559,45645,MAST 398_1.3,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254218,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2560,45645,MAST 42_1.4,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254219,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2561,45645,MAST 1103_1.1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254220,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2562,45645,MAST 1118_1.1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254221,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
